Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
1,2000,1000,600,3.3,10000,12000,11437,560,3,0,0,9999.81
1,4000,1000,600,3.3,10000,12000,11437,560,3,0,0,9999.81
1,5000,1000,600,3.3,10000,12000,7976,291,2,3731,0,9999.81
1,6000,1000,600,3.3,10000,12000,5793,159,1,6047,0,9999.81
1,8000,1000,600,3.3,10000,12000,3207,69,1,8723,0,9999.81
1,10000,1000,600,3.3,10000,12000,2038,26,1,9935,0,9999.81
1,12000,1000,600,3.3,10000,12000,1423,17,1,10559,0,9999.81
1,15000,1000,600,3.3,10000,12000,814,14,1,11171,0,9999.81
2,2000,1000,600,3.3,10000,12000,4372,6512,1116,0,0,9996.43
2,4000,1000,600,3.3,10000,12000,4372,6512,1116,0,0,9996.43
2,5000,1000,600,3.3,10000,12000,4372,6512,1116,0,0,9996.43
2,6000,1000,600,3.3,10000,12000,4372,6512,1116,0,0,9996.43
2,8000,1000,600,3.3,10000,12000,4372,6512,1116,0,0,9996.43
2,10000,1000,600,3.3,10000,12000,4006,5178,767,2049,0,9996.43
2,12000,1000,600,3.3,10000,12000,3326,3210,399,5065,0,9996.43
2,15000,1000,600,3.3,10000,12000,2671,1685,195,7449,0,9996.43
3,2000,1000,600,3.3,10000,12000,11010,831,159,0,0,9998.75
3,4000,1000,600,3.3,10000,12000,11010,831,159,0,0,9998.75
3,5000,1000,600,3.3,10000,12000,11010,831,159,0,0,9998.75
3,6000,1000,600,3.3,10000,12000,11010,831,159,0,0,9998.75
3,8000,1000,600,3.3,10000,12000,11010,831,159,0,0,9998.75
3,10000,1000,600,3.3,10000,12000,2750,22,1,9227,0,9998.75
3,12000,1000,600,3.3,10000,12000,1426,14,1,10559,0,9998.75
3,15000,1000,600,3.3,10000,12000,814,14,1,11171,0,9998.75
6,2000,1000,600,3.3,10000,12000,11437,560,3,0,0,9999.81
6,4000,1000,600,3.3,10000,12000,11605,388,7,0,0,9999.69
6,5000,1000,600,3.3,10000,12000,11403,577,20,0,0,9999.46
6,6000,1000,600,3.3,10000,12000,11169,718,113,0,0,9998.9
6,8000,1000,600,3.3,10000,12000,8719,2827,454,0,0,9997.84
6,10000,1000,600,3.3,10000,12000,6471,3032,376,2121,0,9997.32
6,12000,1000,600,3.3,10000,12000,4627,2024,191,5158,0,9997.03
6,15000,1000,600,3.3,10000,12000,3354,1036,100,7510,0,9996.81
7,2000,1000,600,3.3,10000,12000,11635,335,30,0,0,9999.47
7,4000,1000,600,3.3,10000,12000,11579,383,38,0,0,9999.39
7,5000,1000,600,3.3,10000,12000,11372,572,56,0,0,9999.21
7,6000,1000,600,3.3,10000,12000,10144,854,177,825,0,9998.71
7,8000,1000,600,3.3,10000,12000,6819,2589,503,2089,0,9997.73
7,10000,1000,600,3.3,10000,12000,4917,2885,436,3762,0,9997.24
7,12000,1000,600,3.3,10000,12000,3615,2172,275,5938,0,9996.97
7,15000,1000,600,3.3,10000,12000,2784,1237,130,7849,0,9996.77
8,2000,1000,600,3.3,10000,12000,7520,3826,654,0,0,9997.39
8,4000,1000,600,3.3,10000,12000,7528,3817,655,0,0,9997.38
8,5000,1000,600,3.3,10000,12000,7495,3835,670,0,0,9997.36
8,6000,1000,600,3.3,10000,12000,7266,4014,720,0,0,9997.22
8,8000,1000,600,3.3,10000,12000,6190,4921,889,0,0,9996.89
8,10000,1000,600,3.3,10000,12000,5162,4146,614,2078,0,9996.74
8,12000,1000,600,3.3,10000,12000,4012,2564,316,5108,0,9996.63
8,15000,1000,600,3.3,10000,12000,2897,1286,135,7682,0,9996.56
10,2000,1000,600,3.3,10000,12000,9649,2106,245,0,0,9998.46
10,4000,1000,600,3.3,10000,12000,9656,2099,245,0,0,9998.45
10,5000,1000,600,3.3,10000,12000,9549,2188,263,0,0,9998.41
10,6000,1000,600,3.3,10000,12000,9321,2319,360,0,0,9998.14
10,8000,1000,600,3.3,10000,12000,8302,3044,654,0,0,9997.41
10,10000,1000,600,3.3,10000,12000,5600,2955,480,2965,0,9997.06
10,12000,1000,600,3.3,10000,12000,3904,2188,289,5619,0,9996.84
10,15000,1000,600,3.3,10000,12000,2818,1238,130,7814,0,9996.69
12,2000,1000,600,3.3,10000,12000,11000,842,158,0,0,9998.76
12,4000,1000,600,3.3,10000,12000,10959,875,166,0,0,9998.73
12,5000,1000,600,3.3,10000,12000,10742,1071,187,0,0,9998.63
12,6000,1000,600,3.3,10000,12000,10258,1439,303,0,0,9998.28
12,8000,1000,600,3.3,10000,12000,8369,2995,636,0,0,9997.5
12,10000,1000,600,3.3,10000,12000,4926,2918,436,3720,0,9997.11
12,12000,1000,600,3.3,10000,12000,3611,2176,275,5938,0,9996.88
12,15000,1000,600,3.3,10000,12000,2781,1240,130,7849,0,9996.72
13,2000,1000,600,3.3,10000,12000,11274,665,61,0,0,9999.22
13,4000,1000,600,3.3,10000,12000,11197,735,68,0,0,9999.19
13,5000,1000,600,3.3,10000,12000,10910,1006,84,0,0,9999.08
13,6000,1000,600,3.3,10000,12000,10616,1184,200,0,0,9998.64
13,8000,1000,600,3.3,10000,12000,7753,2405,513,1329,0,9997.69
13,10000,1000,600,3.3,10000,12000,4982,2862,436,3720,0,9997.23
13,12000,1000,600,3.3,10000,12000,3615,2172,275,5938,0,9996.96
13,15000,1000,600,3.3,10000,12000,2784,1237,130,7849,0,9996.78
