packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
150,1,2000,200,600,3.3,10000,2400,2303,97,0,0,0,9999.41
150,1,4000,200,600,3.3,10000,1836,1790,46,0,0,0,9999.54
150,1,5000,200,600,3.3,10000,1200,1182,18,0,0,0,9999.69
150,1,6000,200,600,3.3,10000,840,831,9,0,0,0,9999.77
150,1,8000,200,600,3.3,10000,492,492,0,0,0,0,9999.85
150,1,10000,200,600,3.3,10000,372,372,0,0,0,0,9999.88
150,1,12000,200,600,3.3,10000,264,264,0,0,0,0,9999.9
150,1,15000,200,600,3.3,10000,156,156,0,0,0,0,9999.93
150,2,2000,200,600,3.3,10000,2399,1235,1075,89,0,0,9989.04
150,2,4000,200,600,3.3,10000,1835,1110,686,39,0,0,9991.61
150,2,5000,200,600,3.3,10000,1199,871,322,6,0,0,9994.5
150,2,6000,200,600,3.3,10000,839,668,171,0,0,0,9996.14
150,2,8000,200,600,3.3,10000,491,423,68,0,0,0,9997.73
150,2,10000,200,600,3.3,10000,371,321,50,0,0,0,9998.27
150,2,12000,200,600,3.3,10000,263,239,24,0,0,0,9998.76
150,2,15000,200,600,3.3,10000,155,144,11,0,0,0,9999.26
150,3,2000,200,600,3.3,10000,2400,2287,108,5,0,0,9996.07
150,3,4000,200,600,3.3,10000,1836,1816,20,0,0,0,9998.31
150,3,5000,200,600,3.3,10000,1200,1200,0,0,0,0,9999.41
150,3,6000,200,600,3.3,10000,840,840,0,0,0,0,9999.67
150,3,8000,200,600,3.3,10000,492,492,0,0,0,0,9999.83
150,3,10000,200,600,3.3,10000,372,372,0,0,0,0,9999.88
150,3,12000,200,600,3.3,10000,264,264,0,0,0,0,9999.9
150,3,15000,200,600,3.3,10000,156,156,0,0,0,0,9999.93
150,6,2000,200,600,3.3,10000,2400,2303,97,0,0,0,9999.41
150,6,4000,200,600,3.3,10000,1836,1804,32,0,0,0,9999.45
150,6,5000,200,600,3.3,10000,1200,1191,9,0,0,0,9999.62
150,6,6000,200,600,3.3,10000,840,840,0,0,0,0,9999.72
150,6,8000,200,600,3.3,10000,492,492,0,0,0,0,9999.83
150,6,10000,200,600,3.3,10000,372,372,0,0,0,0,9999.86
150,6,12000,200,600,3.3,10000,264,264,0,0,0,0,9999.89
150,6,15000,200,600,3.3,10000,156,156,0,0,0,0,9999.92
150,7,2000,200,600,3.3,10000,2400,2366,34,0,0,0,9998.35
150,7,4000,200,600,3.3,10000,1836,1786,50,0,0,0,9999.21
150,7,5000,200,600,3.3,10000,1200,1189,11,0,0,0,9999.14
150,7,6000,200,600,3.3,10000,840,835,5,0,0,0,9998.87
150,7,8000,200,600,3.3,10000,492,482,10,0,0,0,9998.69
150,7,10000,200,600,3.3,10000,372,349,23,0,0,0,9998.77
150,7,12000,200,600,3.3,10000,263,250,13,0,0,0,9999.04
150,7,15000,200,600,3.3,10000,155,155,0,0,0,0,9999.37
150,8,2000,200,600,3.3,10000,2400,1799,549,52,0,0,9991.92
150,8,4000,200,600,3.3,10000,1836,1552,265,19,0,0,9994.47
150,8,5000,200,600,3.3,10000,1200,1149,50,1,0,0,9997.28
150,8,6000,200,600,3.3,10000,840,816,24,0,0,0,9998.29
150,8,8000,200,600,3.3,10000,492,482,10,0,0,0,9998.65
150,8,10000,200,600,3.3,10000,372,349,23,0,0,0,9998.76
150,8,12000,200,600,3.3,10000,263,250,13,0,0,0,9999.04
150,8,15000,200,600,3.3,10000,155,155,0,0,0,0,9999.37
150,10,2000,200,600,3.3,10000,2400,2158,222,20,0,0,9995.08
150,10,4000,200,600,3.3,10000,1836,1726,106,4,0,0,9996.93
150,10,5000,200,600,3.3,10000,1200,1177,23,0,0,0,9998.37
150,10,6000,200,600,3.3,10000,840,830,10,0,0,0,9998.63
150,10,8000,200,600,3.3,10000,492,482,10,0,0,0,9998.67
150,10,10000,200,600,3.3,10000,372,349,23,0,0,0,9998.76
150,10,12000,200,600,3.3,10000,263,250,13,0,0,0,9999.04
150,10,15000,200,600,3.3,10000,155,155,0,0,0,0,9999.37
150,12,2000,200,600,3.3,10000,2400,2287,108,5,0,0,9996.12
150,12,4000,200,600,3.3,10000,1836,1808,28,0,0,0,9998.24
150,12,5000,200,600,3.3,10000,1200,1192,8,0,0,0,9999.03
150,12,6000,200,600,3.3,10000,840,838,2,0,0,0,9998.84
150,12,8000,200,600,3.3,10000,492,482,10,0,0,0,9998.69
150,12,10000,200,600,3.3,10000,372,349,23,0,0,0,9998.77
150,12,12000,200,600,3.3,10000,263,250,13,0,0,0,9999.04
150,12,15000,200,600,3.3,10000,155,155,0,0,0,0,9999.37
150,13,2000,200,600,3.3,10000,2400,2316,84,0,0,0,9997.51
150,13,4000,200,600,3.3,10000,1836,1798,38,0,0,0,9998.68
150,13,5000,200,600,3.3,10000,1200,1192,8,0,0,0,9999.06
150,13,6000,200,600,3.3,10000,840,838,2,0,0,0,9998.85
150,13,8000,200,600,3.3,10000,492,482,10,0,0,0,9998.69
150,13,10000,200,600,3.3,10000,372,349,23,0,0,0,9998.77
150,13,12000,200,600,3.3,10000,263,250,13,0,0,0,9999.04
150,13,15000,200,600,3.3,10000,155,155,0,0,0,0,9999.37
150,1,2000,1000,600,3.3,10000,12000,10049,1914,37,0,0,9999.41
150,1,4000,1000,600,3.3,10000,9120,7902,1198,20,0,0,9999.55
150,1,5000,1000,600,3.3,10000,5928,5380,537,11,0,0,9999.69
150,1,6000,1000,600,3.3,10000,4104,3841,260,3,0,0,9999.78
150,1,8000,1000,600,3.3,10000,2244,2173,71,0,0,0,9999.86
150,1,10000,1000,600,3.3,10000,1440,1409,31,0,0,0,9999.9
150,1,12000,1000,600,3.3,10000,912,894,18,0,0,0,9999.92
150,1,15000,1000,600,3.3,10000,600,582,18,0,0,0,9999.94
150,2,2000,1000,600,3.3,10000,11997,868,6450,4679,0,0,9989.04
150,2,4000,1000,600,3.3,10000,9118,1026,5353,2739,0,0,9991.66
150,2,5000,1000,600,3.3,10000,5925,1302,3547,1076,0,0,9994.57
150,2,6000,1000,600,3.3,10000,4104,1369,2291,444,0,0,9996.23
150,2,8000,1000,600,3.3,10000,2244,1151,989,104,0,0,9997.92
150,2,10000,1000,600,3.3,10000,1440,978,443,19,0,0,9998.65
150,2,12000,1000,600,3.3,10000,912,706,202,4,0,0,9999.13
150,2,15000,1000,600,3.3,10000,600,504,96,0,0,0,9999.42
150,3,2000,1000,600,3.3,10000,11999,8645,2009,1345,0,0,9996.09
150,3,4000,1000,600,3.3,10000,9120,7912,988,220,0,0,9998.34
150,3,5000,1000,600,3.3,10000,5928,5505,402,21,0,0,9999.42
150,3,6000,1000,600,3.3,10000,4104,3922,177,5,0,0,9999.69
150,3,8000,1000,600,3.3,10000,2244,2175,69,0,0,0,9999.85
150,3,10000,1000,600,3.3,10000,1440,1409,31,0,0,0,9999.9
150,3,12000,1000,600,3.3,10000,912,894,18,0,0,0,9999.92
150,3,15000,1000,600,3.3,10000,600,582,18,0,0,0,9999.94
150,6,2000,1000,600,3.3,10000,12000,10049,1914,37,0,0,9999.41
150,6,4000,1000,600,3.3,10000,9120,8199,894,27,0,0,9999.44
150,6,5000,1000,600,3.3,10000,5928,5567,350,11,0,0,9999.63
150,6,6000,1000,600,3.3,10000,4104,3934,167,3,0,0,9999.72
150,6,8000,1000,600,3.3,10000,2244,2197,47,0,0,0,9999.84
150,6,10000,1000,600,3.3,10000,1440,1422,18,0,0,0,9999.88
150,6,12000,1000,600,3.3,10000,912,894,18,0,0,0,9999.91
150,6,15000,1000,600,3.3,10000,600,600,0,0,0,0,9999.93
150,7,2000,1000,600,3.3,10000,12000,10558,1101,341,0,0,9998.35
150,7,4000,1000,600,3.3,10000,9120,8299,770,51,0,0,9999.22
150,7,5000,1000,600,3.3,10000,5928,5437,453,38,0,0,9999.15
150,7,6000,1000,600,3.3,10000,4104,3812,230,62,0,0,9998.82
150,7,8000,1000,600,3.3,10000,2244,1841,360,43,0,0,9998.71
150,7,10000,1000,600,3.3,10000,1440,1238,192,10,0,0,9999.05
150,7,12000,1000,600,3.3,10000,912,818,94,0,0,0,9999.34
150,7,15000,1000,600,3.3,10000,600,533,67,0,0,0,9999.5
150,8,2000,1000,600,3.3,10000,11996,3374,5115,3507,0,0,9991.93
150,8,4000,1000,600,3.3,10000,9117,4077,3406,1634,0,0,9994.52
150,8,5000,1000,600,3.3,10000,5926,4351,1208,367,0,0,9997.34
150,8,6000,1000,600,3.3,10000,4104,3385,614,105,0,0,9998.3
150,8,8000,1000,600,3.3,10000,2244,1833,368,43,0,0,9998.68
150,8,10000,1000,600,3.3,10000,1440,1238,192,10,0,0,9999.05
150,8,12000,1000,600,3.3,10000,912,818,94,0,0,0,9999.34
150,8,15000,1000,600,3.3,10000,600,533,67,0,0,0,9999.5
