Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
3,6000,3000,600,3.3,10000,17997,13594,2833,1570,0,0,9999.38
3,8000,3000,600,3.3,10000,17997,13594,2833,1570,0,0,9999.38
3,10000,3000,600,3.3,10000,18000,4143,116,4,13737,0,9999.38
3,12000,3000,600,3.3,10000,18000,2081,25,0,15894,0,9999.38
3,15000,3000,600,3.3,10000,18000,1289,7,0,16704,0,9999.38
4,6000,3000,600,3.3,10000,17999,12565,979,207,4248,0,9999.74
4,8000,3000,600,3.3,10000,17999,6198,431,84,11286,0,9999.74
4,10000,3000,600,3.3,10000,18000,2986,85,2,14927,0,9999.74
4,12000,3000,600,3.3,10000,18000,2079,27,0,15894,0,9999.74
4,15000,3000,600,3.3,10000,18000,1289,7,0,16704,0,9999.74
5,6000,3000,600,3.3,10000,17997,5410,7872,4715,0,0,9998.7
5,8000,3000,600,3.3,10000,17997,5410,7872,4715,0,0,9998.7
5,10000,3000,600,3.3,10000,17998,5707,6405,3303,2583,0,9998.7
5,12000,3000,600,3.3,10000,17999,6016,3556,1186,7241,0,9998.7
5,15000,3000,600,3.3,10000,18000,4037,383,56,13524,0,9998.7
6,6000,3000,600,3.3,10000,17997,14170,2657,1170,0,0,9999.47
6,8000,3000,600,3.3,10000,17996,7862,6378,3756,0,0,9998.92
6,10000,3000,600,3.3,10000,17998,5157,6766,3546,2529,0,9998.66
6,12000,3000,600,3.3,10000,17998,4031,5060,2015,6892,0,9998.52
6,15000,3000,600,3.3,10000,17998,3014,3226,995,10763,0,9998.4
7,6000,3000,600,3.3,10000,17998,12553,2726,1565,1154,0,9999.37
7,8000,3000,600,3.3,10000,17998,5948,5737,3879,2434,0,9998.86
7,10000,3000,600,3.3,10000,17997,3356,6300,3663,4678,0,9998.62
7,12000,3000,600,3.3,10000,17999,2586,5111,2506,7796,0,9998.49
7,15000,3000,600,3.3,10000,17998,2039,3528,1410,11021,0,9998.38
8,6000,3000,600,3.3,10000,17997,4888,8030,5079,0,0,9998.62
8,8000,3000,600,3.3,10000,17997,3601,8609,5787,0,0,9998.45
8,10000,3000,600,3.3,10000,17996,3090,7770,4802,2334,0,9998.36
8,12000,3000,600,3.3,10000,17998,2845,5671,2998,6484,0,9998.31
8,15000,3000,600,3.3,10000,17998,2202,3598,1457,10741,0,9998.28
9,6000,3000,600,3.3,10000,17996,11550,2293,1553,2600,0,9999.39
9,8000,3000,600,3.3,10000,17996,8675,1900,1303,6118,0,9999.39
9,10000,3000,600,3.3,10000,17997,6203,1257,779,9758,0,9999.39
9,12000,3000,600,3.3,10000,17997,4615,726,405,12251,0,9999.39
9,15000,3000,600,3.3,10000,17999,3125,293,152,14429,0,9999.39
10,6000,3000,600,3.3,10000,17997,8843,6246,2908,0,0,9999.08
10,8000,3000,600,3.3,10000,17997,6340,6958,4699,0,0,9998.7
10,10000,3000,600,3.3,10000,17996,4099,6409,3906,3582,0,9998.52
10,12000,3000,600,3.3,10000,17999,2894,5105,2564,7436,0,9998.42
10,15000,3000,600,3.3,10000,17998,2093,3531,1411,10963,0,9998.34
11,6000,3000,600,3.3,10000,17997,9962,5822,2213,0,0,9999.23
11,8000,3000,600,3.3,10000,17997,9962,5822,2213,0,0,9999.23
11,10000,3000,600,3.3,10000,17999,7838,2651,481,7029,0,9999.23
11,12000,3000,600,3.3,10000,18000,5307,580,68,12045,0,9999.23
11,15000,3000,600,3.3,10000,18000,2441,48,6,15505,0,9999.23
