Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
3,6000,3000,600,3.3,10000,35997,27086,5717,3194,0,0,9998.76
3,8000,3000,600,3.3,10000,35997,27086,5717,3194,0,0,9998.76
3,10000,3000,600,3.3,10000,36000,8282,236,7,27475,0,9998.76
3,12000,3000,600,3.3,10000,36000,4154,57,1,31788,0,9998.76
3,15000,3000,600,3.3,10000,36000,2578,14,0,33408,0,9998.76
4,6000,3000,600,3.3,10000,35999,25013,2052,448,8486,0,9999.47
4,8000,3000,600,3.3,10000,35999,12356,906,200,22537,0,9999.47
4,10000,3000,600,3.3,10000,36000,5965,177,3,29855,0,9999.47
4,12000,3000,600,3.3,10000,36000,4146,65,1,31788,0,9999.47
4,15000,3000,600,3.3,10000,36000,2578,14,0,33408,0,9999.47
5,6000,3000,600,3.3,10000,35996,10762,15773,9461,0,0,9997.39
5,8000,3000,600,3.3,10000,35996,10762,15773,9461,0,0,9997.39
5,10000,3000,600,3.3,10000,35997,11311,12830,6651,5205,0,9997.39
5,12000,3000,600,3.3,10000,35999,11990,7109,2410,14490,0,9997.39
5,15000,3000,600,3.3,10000,36000,8068,771,92,27069,0,9997.39
6,6000,3000,600,3.3,10000,35997,28208,5388,2401,0,0,9998.94
6,8000,3000,600,3.3,10000,35996,15618,12839,7539,0,0,9997.84
6,10000,3000,600,3.3,10000,35997,10248,13561,7084,5104,0,9997.31
6,12000,3000,600,3.3,10000,35999,8017,10132,4139,13711,0,9997.03
6,15000,3000,600,3.3,10000,35998,6029,6473,1995,21501,0,9996.81
7,6000,3000,600,3.3,10000,35998,25053,5434,3193,2318,0,9998.74
7,8000,3000,600,3.3,10000,35998,11900,11497,7761,4840,0,9997.72
7,10000,3000,600,3.3,10000,35997,6710,12615,7347,9325,0,9997.24
7,12000,3000,600,3.3,10000,35998,5164,10267,5103,15464,0,9996.98
7,15000,3000,600,3.3,10000,35999,4079,7103,2846,21971,0,9996.77
8,6000,3000,600,3.3,10000,35996,9732,16083,10181,0,0,9997.23
8,8000,3000,600,3.3,10000,35996,7200,17241,11555,0,0,9996.89
8,10000,3000,600,3.3,10000,35997,6127,15533,9673,4664,0,9996.72
8,12000,3000,600,3.3,10000,35998,5670,11360,6045,12923,0,9996.63
8,15000,3000,600,3.3,10000,35999,4426,7217,2938,21418,0,9996.56
9,6000,3000,600,3.3,10000,35996,23097,4589,3140,5170,0,9998.78
9,8000,3000,600,3.3,10000,35996,17323,3825,2610,12238,0,9998.78
9,10000,3000,600,3.3,10000,35997,12362,2531,1582,19522,0,9998.78
9,12000,3000,600,3.3,10000,35997,9259,1423,806,24509,0,9998.78
9,15000,3000,600,3.3,10000,35999,6272,576,289,28862,0,9998.78
10,6000,3000,600,3.3,10000,35997,17732,12356,5909,0,0,9998.17
10,8000,3000,600,3.3,10000,35997,12677,13900,9420,0,0,9997.4
10,10000,3000,600,3.3,10000,35996,8169,12818,7872,7137,0,9997.04
10,12000,3000,600,3.3,10000,35998,5777,10257,5206,14758,0,9996.85
10,15000,3000,600,3.3,10000,35999,4184,7107,2848,21860,0,9996.69
11,6000,3000,600,3.3,10000,35997,19950,11547,4500,0,0,9998.46
11,8000,3000,600,3.3,10000,35997,19950,11547,4500,0,0,9998.46
11,10000,3000,600,3.3,10000,35999,15669,5302,978,14050,0,9998.46
11,12000,3000,600,3.3,10000,36000,10609,1170,120,24101,0,9998.46
11,15000,3000,600,3.3,10000,36000,4875,103,8,31014,0,9998.46
1,6000,3000,600,3.3,10000,36000,16348,1349,20,18283,0,9999.81
1,8000,3000,600,3.3,10000,36000,9526,408,5,26061,0,9999.81
1,10000,3000,600,3.3,10000,36000,5965,177,3,29855,0,9999.81
1,12000,3000,600,3.3,10000,36000,4146,65,1,31788,0,9999.81
1,15000,3000,600,3.3,10000,36000,2578,14,0,33408,0,9999.81
2,6000,3000,600,3.3,10000,35995,2766,19903,13326,0,0,9996.43
2,8000,3000,600,3.3,10000,35995,2766,19903,13326,0,0,9996.43
2,10000,3000,600,3.3,10000,35995,2947,17687,10940,4421,0,9996.43
2,12000,3000,600,3.3,10000,35997,3188,13324,6985,12500,0,9996.43
2,15000,3000,600,3.3,10000,35998,3280,8632,3606,20480,0,9996.43
