packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
20,27,2000,1,600,3.3,10000,12,12,0,0,0,0,9999.82
20,27,2000,1,1200,3.3,10000,6,6,0,0,0,0,9999.89
20,27,2000,1,1800,3.3,10000,4,4,0,0,0,0,9999.92
20,27,2000,1,3600,3.3,10000,2,2,0,0,0,0,9999.94
20,27,2000,1,7200,3.3,10000,1,1,0,0,0,0,9999.95
20,27,2000,1,10800,3.3,10000,1,1,0,0,0,0,9999.95
20,27,2000,1,14400,3.3,10000,1,1,0,0,0,0,9999.95
20,28,2000,1,600,3.3,10000,12,12,0,0,0,0,9999.7
20,28,2000,1,1200,3.3,10000,6,6,0,0,0,0,9999.83
20,28,2000,1,1800,3.3,10000,4,4,0,0,0,0,9999.88
20,28,2000,1,3600,3.3,10000,2,2,0,0,0,0,9999.92
20,28,2000,1,7200,3.3,10000,1,1,0,0,0,0,9999.94
20,28,2000,1,10800,3.3,10000,1,1,0,0,0,0,9999.94
20,28,2000,1,14400,3.3,10000,1,1,0,0,0,0,9999.94
20,29,2000,1,600,3.3,10000,12,12,0,0,0,0,9999.48
20,29,2000,1,1200,3.3,10000,6,6,0,0,0,0,9999.72
20,29,2000,1,1800,3.3,10000,4,4,0,0,0,0,9999.8
20,29,2000,1,3600,3.3,10000,2,2,0,0,0,0,9999.88
20,29,2000,1,7200,3.3,10000,1,1,0,0,0,0,9999.92
20,29,2000,1,10800,3.3,10000,1,1,0,0,0,0,9999.92
20,29,2000,1,14400,3.3,10000,1,1,0,0,0,0,9999.92
20,30,2000,1,600,3.3,10000,12,12,0,0,0,0,9999.08
20,30,2000,1,1200,3.3,10000,6,6,0,0,0,0,9999.52
20,30,2000,1,1800,3.3,10000,4,4,0,0,0,0,9999.67
20,30,2000,1,3600,3.3,10000,2,2,0,0,0,0,9999.82
20,30,2000,1,7200,3.3,10000,1,1,0,0,0,0,9999.89
20,30,2000,1,10800,3.3,10000,1,1,0,0,0,0,9999.89
20,30,2000,1,14400,3.3,10000,1,1,0,0,0,0,9999.89
20,31,2000,1,600,3.3,10000,12,12,0,0,0,0,9998.2
20,31,2000,1,1200,3.3,10000,6,6,0,0,0,0,9999.08
20,31,2000,1,1800,3.3,10000,4,4,0,0,0,0,9999.37
20,31,2000,1,3600,3.3,10000,2,2,0,0,0,0,9999.67
20,31,2000,1,7200,3.3,10000,1,1,0,0,0,0,9999.82
20,31,2000,1,10800,3.3,10000,1,1,0,0,0,0,9999.82
20,31,2000,1,14400,3.3,10000,1,1,0,0,0,0,9999.82
20,32,2000,1,600,3.3,10000,12,12,0,0,0,0,9996.78
20,32,2000,1,1200,3.3,10000,6,6,0,0,0,0,9998.37
20,32,2000,1,1800,3.3,10000,4,4,0,0,0,0,9998.9
20,32,2000,1,3600,3.3,10000,2,2,0,0,0,0,9999.43
20,32,2000,1,7200,3.3,10000,1,1,0,0,0,0,9999.7
20,32,2000,1,10800,3.3,10000,1,1,0,0,0,0,9999.7
20,32,2000,1,14400,3.3,10000,1,1,0,0,0,0,9999.7
