RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal,currenthora
2314927680,1,1,2000,1000,600,3.3,10000,4,9,24000,23136,816,48,0,0,9999.156178,0.017757
2314927680,1,1,3000,1000,600,3.3,10000,4,9,24000,19388,587,46,3979,0,9999.156197,0.017757
2314927680,1,1,4000,1000,600,3.3,10000,4,9,24000,13073,365,41,10521,0,9999.156197,0.017757
2314927680,1,1,5000,1000,600,3.3,10000,4,9,24000,8563,220,31,15186,0,9999.156230,0.017756
2314927680,1,1,6000,1000,600,3.3,10000,4,9,24000,6153,133,18,17696,0,9999.156230,0.017756
2314927680,1,1,8000,1000,600,3.3,10000,4,9,24000,3372,41,4,20583,0,9999.156230,0.017756
861648815,1,1,2000,1000,600,3.3,10000,4,9,24000,23235,702,63,0,0,9999.156030,0.017760
861648815,1,1,3000,1000,600,3.3,10000,4,9,24000,19443,544,56,3957,0,9999.156129,0.017758
861648815,1,1,4000,1000,600,3.3,10000,4,9,24000,12953,354,47,10646,0,9999.155938,0.017762
861648815,1,1,5000,1000,600,3.3,10000,4,9,24000,8754,224,35,14987,0,9999.156155,0.017758
861648815,1,1,6000,1000,600,3.3,10000,4,9,24000,6315,149,18,17518,0,9999.156155,0.017758
861648815,1,1,8000,1000,600,3.3,10000,4,9,24000,3369,26,6,20599,0,9999.156155,0.017758
716359404,1,1,2000,1000,600,3.3,10000,4,9,24000,23277,692,31,0,0,9999.155850,0.017764
716359404,1,1,3000,1000,600,3.3,10000,4,9,24000,19518,463,30,3989,0,9999.155873,0.017764
716359404,1,1,4000,1000,600,3.3,10000,4,9,24000,13057,261,28,10654,0,9999.155889,0.017763
716359404,1,1,5000,1000,600,3.3,10000,4,9,24000,8978,196,18,14808,0,9999.155892,0.017763
716359404,1,1,6000,1000,600,3.3,10000,4,9,24000,6442,156,12,17390,0,9999.155892,0.017763
716359404,1,1,8000,1000,600,3.3,10000,4,9,24000,3600,52,5,20343,0,9999.155892,0.017763
518024951,1,1,2000,1000,600,3.3,10000,4,9,23999,23227,712,60,0,0,9999.156010,0.017761
518024951,1,1,3000,1000,600,3.3,10000,4,9,23999,19393,520,57,4029,0,9999.156019,0.017761
518024951,1,1,4000,1000,600,3.3,10000,4,9,23999,12863,337,42,10757,0,9999.156102,0.017759
518024951,1,1,5000,1000,600,3.3,10000,4,9,24000,8738,198,32,15032,0,9999.156102,0.017759
518024951,1,1,6000,1000,600,3.3,10000,4,9,24000,6263,134,22,17581,0,9999.156102,0.017759
518024951,1,1,8000,1000,600,3.3,10000,4,9,24000,3275,49,5,20671,0,9999.156102,0.017759
652227427,1,1,2000,1000,600,3.3,10000,4,9,24000,23287,650,63,0,0,9999.156223,0.017756
652227427,1,1,3000,1000,600,3.3,10000,4,9,24000,19242,442,58,4258,0,9999.156170,0.017757
652227427,1,1,4000,1000,600,3.3,10000,4,9,24000,12967,234,46,10753,0,9999.156187,0.017757
652227427,1,1,5000,1000,600,3.3,10000,4,9,24000,8812,105,28,15055,0,9999.156192,0.017757
652227427,1,1,6000,1000,600,3.3,10000,4,9,24000,6248,77,18,17657,0,9999.156276,0.017755
652227427,1,1,8000,1000,600,3.3,10000,4,9,24000,3543,32,5,20420,0,9999.156276,0.017755
2447348191,1,1,2000,1000,600,3.3,10000,4,9,24000,23176,764,60,0,0,9999.156183,0.017757
2447348191,1,1,3000,1000,600,3.3,10000,4,9,24000,19291,624,59,4026,0,9999.156270,0.017755
2447348191,1,1,4000,1000,600,3.3,10000,4,9,24000,12786,421,45,10748,0,9999.156270,0.017755
2447348191,1,1,5000,1000,600,3.3,10000,4,9,24000,8759,272,35,14934,0,9999.156270,0.017755
2447348191,1,1,6000,1000,600,3.3,10000,4,9,24000,6394,142,18,17446,0,9999.156270,0.017755
2447348191,1,1,8000,1000,600,3.3,10000,4,9,24000,3362,46,4,20588,0,9999.156270,0.017755
2314927680,1,2,2000,1000,600,3.3,10000,4,9,24000,23246,738,16,0,0,9999.414115,0.012329
2314927680,1,2,3000,1000,600,3.3,10000,4,9,24000,19095,471,14,4420,0,9999.414168,0.012328
2314927680,1,2,4000,1000,600,3.3,10000,4,9,24000,11595,172,9,12224,0,9999.414186,0.012328
2314927680,1,2,5000,1000,600,3.3,10000,4,9,24000,7551,96,5,16348,0,9999.414186,0.012328
2314927680,1,2,6000,1000,600,3.3,10000,4,9,24000,5138,55,4,18803,0,9999.414186,0.012328
2314927680,1,2,8000,1000,600,3.3,10000,4,9,24000,2903,19,2,21076,0,9999.414186,0.012328
861648815,1,2,2000,1000,600,3.3,10000,4,9,24000,23390,587,23,0,0,9999.414088,0.012330
861648815,1,2,3000,1000,600,3.3,10000,4,9,24000,19060,401,18,4521,0,9999.414102,0.012330
861648815,1,2,4000,1000,600,3.3,10000,4,9,24000,11529,196,10,12265,0,9999.414174,0.012328
861648815,1,2,5000,1000,600,3.3,10000,4,9,24000,7640,104,5,16251,0,9999.414174,0.012328
861648815,1,2,6000,1000,600,3.3,10000,4,9,24000,5331,45,2,18622,0,9999.414174,0.012328
861648815,1,2,8000,1000,600,3.3,10000,4,9,24000,2807,1,1,21191,0,9999.414174,0.012328
716359404,1,2,2000,1000,600,3.3,10000,4,9,24000,23301,685,14,0,0,9999.413925,0.012333
716359404,1,2,3000,1000,600,3.3,10000,4,9,24000,19040,430,14,4516,0,9999.413948,0.012333
716359404,1,2,4000,1000,600,3.3,10000,4,9,24000,11710,173,8,12109,0,9999.413964,0.012332
716359404,1,2,5000,1000,600,3.3,10000,4,9,24000,7797,115,5,16083,0,9999.413967,0.012332
716359404,1,2,6000,1000,600,3.3,10000,4,9,24000,5369,59,3,18569,0,9999.413967,0.012332
716359404,1,2,8000,1000,600,3.3,10000,4,9,24000,3134,21,2,20843,0,9999.413967,0.012332
518024951,1,2,2000,1000,600,3.3,10000,4,9,23999,23320,656,23,0,0,9999.414008,0.012331
518024951,1,2,3000,1000,600,3.3,10000,4,9,23999,18967,437,22,4573,0,9999.414084,0.012330
518024951,1,2,4000,1000,600,3.3,10000,4,9,23999,11449,178,14,12358,0,9999.414100,0.012330
518024951,1,2,5000,1000,600,3.3,10000,4,9,24000,7642,90,7,16261,0,9999.414100,0.012330
518024951,1,2,6000,1000,600,3.3,10000,4,9,24000,5272,48,4,18676,0,9999.414100,0.012330
518024951,1,2,8000,1000,600,3.3,10000,4,9,24000,2767,17,0,21216,0,9999.414100,0.012330
652227427,1,2,2000,1000,600,3.3,10000,4,9,24000,23343,628,29,0,0,9999.414178,0.012328
652227427,1,2,3000,1000,600,3.3,10000,4,9,24000,18719,393,27,4861,0,9999.414180,0.012328
652227427,1,2,4000,1000,600,3.3,10000,4,9,24000,11483,145,16,12356,0,9999.414180,0.012328
652227427,1,2,5000,1000,600,3.3,10000,4,9,24000,7627,49,8,16316,0,9999.414231,0.012327
652227427,1,2,6000,1000,600,3.3,10000,4,9,24000,5253,26,3,18718,0,9999.414231,0.012327
652227427,1,2,8000,1000,600,3.3,10000,4,9,24000,3060,12,0,20928,0,9999.414231,0.012327
2447348191,1,2,2000,1000,600,3.3,10000,4,9,24000,23279,693,28,0,0,9999.414138,0.012329
2447348191,1,2,3000,1000,600,3.3,10000,4,9,24000,18796,539,24,4641,0,9999.414224,0.012327
2447348191,1,2,4000,1000,600,3.3,10000,4,9,24000,11372,268,17,12343,0,9999.414233,0.012327
2447348191,1,2,5000,1000,600,3.3,10000,4,9,24000,7815,113,11,16061,0,9999.414233,0.012327
2447348191,1,2,6000,1000,600,3.3,10000,4,9,24000,5335,46,1,18618,0,9999.414233,0.012327
2447348191,1,2,8000,1000,600,3.3,10000,4,9,24000,2852,16,1,21131,0,9999.414233,0.012327
2314927680,1,3,2000,1000,600,3.3,10000,4,9,24000,23280,679,41,0,0,9999.197227,0.016893
2314927680,1,3,3000,1000,600,3.3,10000,4,9,24000,19781,489,38,3692,0,9999.197280,0.016892
2314927680,1,3,4000,1000,600,3.3,10000,4,9,24000,12280,258,31,11431,0,9999.197298,0.016892
2314927680,1,3,5000,1000,600,3.3,10000,4,9,24000,8340,183,24,15453,0,9999.197298,0.016892
