RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinalcurrenthora
2314927680,1,1,2000,1000,600,3.3,10000,4,9,24000,22540,700,48,712,0,9999.247633,0.015833
2314927680,1,1,3000,1000,600,3.3,10000,4,9,24000,21431,672,46,1851,0,9999.249138,0.015801
2314927680,1,1,4000,1000,600,3.3,10000,4,9,24000,20050,561,44,3345,0,9999.248790,0.015808
2314927680,1,1,5000,1000,600,3.3,10000,4,9,24000,17543,431,33,5993,0,9999.248455,0.015815
2314927680,1,1,6000,1000,600,3.3,10000,4,9,24000,14911,374,33,8682,0,9999.246968,0.015847
2314927680,1,1,8000,1000,600,3.3,10000,4,9,24000,11467,273,19,12241,0,9999.247606,0.015833
861648815,1,1,2000,1000,600,3.3,10000,4,9,24000,22611,632,62,695,0,9999.245767,0.015872
861648815,1,1,3000,1000,600,3.3,10000,4,9,24000,21548,567,62,1823,0,9999.246791,0.015850
861648815,1,1,4000,1000,600,3.3,10000,4,9,24000,19829,516,57,3598,0,9999.246827,0.015850
861648815,1,1,5000,1000,600,3.3,10000,4,9,24000,17735,423,44,5798,0,9999.244886,0.015890
861648815,1,1,6000,1000,600,3.3,10000,4,9,24000,14992,352,32,8624,0,9999.246564,0.015855
861648815,1,1,8000,1000,600,3.3,10000,4,9,24000,11598,217,31,12154,0,9999.245982,0.015867
716359404,1,1,2000,1000,600,3.3,10000,4,9,24000,22691,643,31,635,0,9999.245374,0.015880
716359404,1,1,3000,1000,600,3.3,10000,4,9,24000,21531,552,31,1886,0,9999.245475,0.015878
716359404,1,1,4000,1000,600,3.3,10000,4,9,24000,20092,445,26,3437,0,9999.248399,0.015817
716359404,1,1,5000,1000,600,3.3,10000,4,9,24000,17872,383,26,5719,0,9999.247626,0.015833
716359404,1,1,6000,1000,600,3.3,10000,4,9,24000,15034,282,20,8664,0,9999.247849,0.015828
716359404,1,1,8000,1000,600,3.3,10000,4,9,24000,11691,179,19,12111,0,9999.247264,0.015840
518024951,1,1,2000,1000,600,3.3,10000,4,9,23999,22609,637,59,694,0,9999.247577,0.015834
518024951,1,1,3000,1000,600,3.3,10000,4,9,23999,21406,552,54,1987,0,9999.248134,0.015822
518024951,1,1,4000,1000,600,3.3,10000,4,9,23999,20127,537,52,3283,0,9999.248158,0.015822
518024951,1,1,5000,1000,600,3.3,10000,4,9,23999,17684,390,48,5877,0,9999.247352,0.015839
518024951,1,1,6000,1000,600,3.3,10000,4,9,24000,14867,298,38,8797,0,9999.248153,0.015822
518024951,1,1,8000,1000,600,3.3,10000,4,9,23999,11429,253,35,12282,0,9999.247920,0.015827
652227427,1,1,2000,1000,600,3.3,10000,4,9,24000,22599,583,62,756,0,9999.245529,0.015877
652227427,1,1,3000,1000,600,3.3,10000,4,9,24000,21445,544,56,1955,0,9999.248345,0.015818
652227427,1,1,4000,1000,600,3.3,10000,4,9,24000,19996,470,54,3480,0,9999.247841,0.015828
652227427,1,1,5000,1000,600,3.3,10000,4,9,24000,17745,399,51,5805,0,9999.246707,0.015852
652227427,1,1,6000,1000,600,3.3,10000,4,9,24000,14896,285,44,8775,0,9999.248947,0.015805
652227427,1,1,8000,1000,600,3.3,10000,4,9,24000,11602,209,29,12160,0,9999.245586,0.015876
2447348191,1,1,2000,1000,600,3.3,10000,4,9,24000,22557,725,60,658,0,9999.247098,0.015844
2447348191,1,1,3000,1000,600,3.3,10000,4,9,24000,21389,657,58,1896,0,9999.248750,0.015809
2447348191,1,1,4000,1000,600,3.3,10000,4,9,24000,19927,605,54,3414,0,9999.248753,0.015809
2447348191,1,1,5000,1000,600,3.3,10000,4,9,24000,17674,492,52,5782,0,9999.246566,0.015855
2447348191,1,1,6000,1000,600,3.3,10000,4,9,24000,14926,411,44,8619,0,9999.246033,0.015866
2447348191,1,1,8000,1000,600,3.3,10000,4,9,24000,11490,289,29,12192,0,9999.248835,0.015807
2314927680,1,3,2000,1000,600,3.3,10000,4,9,24000,22647,601,40,712,0,9999.283682,0.015074
2314927680,1,3,3000,1000,600,3.3,10000,4,9,24000,21442,566,37,1955,0,9999.283345,0.015081
2314927680,1,3,4000,1000,600,3.3,10000,4,9,24000,19869,491,38,3602,0,9999.281870,0.015112
2314927680,1,3,5000,1000,600,3.3,10000,4,9,24000,17813,404,31,5752,0,9999.283324,0.015082
2314927680,1,3,6000,1000,600,3.3,10000,4,9,24000,15154,318,23,8505,0,9999.285175,0.015043
2314927680,1,3,8000,1000,600,3.3,10000,4,9,24000,11190,219,20,12571,0,9999.282722,0.015094
861648815,1,3,2000,1000,600,3.3,10000,4,9,24000,22754,551,53,642,0,9999.284561,0.015056
861648815,1,3,3000,1000,600,3.3,10000,4,9,24000,21548,507,51,1894,0,9999.283333,0.015081
861648815,1,3,4000,1000,600,3.3,10000,4,9,24000,19982,442,42,3534,0,9999.282525,0.015098
861648815,1,3,5000,1000,600,3.3,10000,4,9,24000,17819,357,36,5788,0,9999.283489,0.015078
861648815,1,3,6000,1000,600,3.3,10000,4,9,24000,15122,319,33,8526,0,9999.283135,0.015086
