RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,23997,16885,2175,349,4588,0,9998.03
2314927680,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,23997,11164,4726,591,7516,0,9997.16
2314927680,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,23997,8291,3938,423,11345,0,9996.82
2314927680,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,23997,7078,3070,319,13530,0,9996.65
2314927680,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23997,6396,2476,263,14862,0,9996.53
2314927680,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23997,5558,2059,207,16173,0,9996.21
861648815,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,23997,16656,2477,449,4415,0,9997.95
861648815,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,23997,10739,5157,837,7264,0,9997.09
861648815,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,23997,8036,4095,598,11268,0,9996.78
861648815,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,23997,6879,3187,418,13513,0,9996.62
861648815,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23997,6212,2628,356,14801,0,9996.52
861648815,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23997,5417,2133,271,16176,0,9996.23
716359404,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,23996,16637,2364,459,4536,0,9998.02
716359404,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,23997,10783,5035,788,7391,0,9997.13
716359404,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,23998,8109,4037,561,11291,0,9996.77
716359404,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,23999,6923,3180,408,13488,0,9996.6
716359404,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23999,6238,2623,325,14813,0,9996.49
716359404,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23998,5436,2112,248,16202,0,9996.19
518024951,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,24000,16658,2279,465,4598,0,9997.98
518024951,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,24000,10661,5018,798,7523,0,9997.14
518024951,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,24000,8138,3889,509,11464,0,9996.81
518024951,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,24000,6956,3062,391,13591,0,9996.6
518024951,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,24000,6260,2512,327,14901,0,9996.49
518024951,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,24000,5479,2045,238,16238,0,9996.19
652227427,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,23999,16625,2513,411,4450,0,9997.96
652227427,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,23998,10945,4973,774,7306,0,9997.08
652227427,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,23998,8116,3976,515,11391,0,9996.77
652227427,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,23998,6970,3062,353,13613,0,9996.61
652227427,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23998,6197,2547,272,14982,0,9996.49
652227427,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23999,5405,2107,192,16295,0,9996.19
2447348191,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,24000,16656,2423,504,4417,0,9997.95
2447348191,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,24000,10884,5010,850,7256,0,9997.1
2447348191,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,24000,8197,3965,556,11282,0,9996.75
2447348191,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,24000,7028,3064,430,13478,0,9996.6
2447348191,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,24000,6314,2480,351,14855,0,9996.49
2447348191,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,24000,5567,2011,280,16142,0,9996.18
