seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB, currentposMAB
861648815,2000,0.945007,0.966225,0.954530,0.870719,0.862511,0.814290,13.000000,73.000000,13.000000,18.000000,11.000000,16.000000,9993.5,0.0228044
861648815,3000,0.904956,0.921356,0.952815,0.827338,0.852608,0.807981,4.000000,8.000000,4.000000,3.000000,4.000000,1.000000,9998.84,0.0243273
861648815,3000,0.936354,0.931548,0.952243,0.822776,0.850612,0.807580,13.000000,15.000000,71.000000,18.000000,11.000000,16.000000,9992.96,0.0246872
861648815,4000,0.674227,0.586542,0.610429,0.717762,0.855051,0.800158,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.27,0.0341221
861648815,5000,0.479449,0.449409,0.469361,0.613938,0.849879,0.787219,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.27,0.0341233
861648815,6000,0.388632,0.363900,0.376458,0.519006,0.517273,0.763981,13.000000,13.000000,13.000000,18.000000,14.000000,73.000000,9989.29,0.0375518
861648815,8000,0.291509,0.297438,0.287189,0.378516,0.232667,0.297137,15.000000,13.000000,13.000000,76.000000,11.000000,16.000000,9990.34,0.0338631
716359404,2000,0.944518,0.963959,0.953600,0.869427,0.866587,0.812241,13.000000,73.000000,13.000000,18.000000,11.000000,16.000000,9993.51,0.0227671
716359404,3000,0.940076,0.941613,0.952162,0.828384,0.866652,0.810165,13.000000,15.000000,71.000000,18.000000,11.000000,16.000000,9992.98,0.0246051
716359404,4000,0.682121,0.597684,0.625609,0.724156,0.858823,0.800948,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.29,0.0340411
716359404,5000,0.485450,0.451550,0.477513,0.621695,0.857334,0.789375,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.29,0.0340409
716359404,6000,0.395508,0.371183,0.388954,0.527028,0.582191,0.767269,13.000000,13.000000,13.000000,18.000000,14.000000,73.000000,9989.32,0.0374713
716359404,8000,0.299668,0.307847,0.296647,0.384258,0.244534,0.304283,15.000000,13.000000,13.000000,76.000000,11.000000,16.000000,9990.4,0.0336871
518024951,2000,0.943348,0.964479,0.951406,0.863990,0.857772,0.809825,13.000000,73.000000,13.000000,18.000000,11.000000,16.000000,9993.49,0.0228156
518024951,3000,0.939484,0.939317,0.950800,0.820112,0.857768,0.807945,13.000000,17.000000,69.000000,18.000000,11.000000,16.000000,9992.99,0.0245897
518024951,4000,0.674786,0.580420,0.607780,0.710633,0.855827,0.799116,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.28,0.0340893
518024951,5000,0.487569,0.455689,0.482703,0.611713,0.854209,0.788153,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.28,0.0340899
518024951,6000,0.400214,0.375199,0.396611,0.521272,0.551322,0.754689,13.000000,13.000000,13.000000,18.000000,14.000000,73.000000,9989.3,0.0375157
518024951,8000,0.299153,0.305963,0.299570,0.383997,0.247917,0.302355,15.000000,13.000000,13.000000,76.000000,11.000000,16.000000,9990.37,0.0337603
652227427,2000,0.942765,0.964401,0.951744,0.870961,0.859661,0.806894,13.000000,73.000000,13.000000,18.000000,11.000000,16.000000,9993.49,0.0228164
652227427,3000,0.939595,0.933148,0.948941,0.826877,0.859656,0.804739,13.000000,15.000000,71.000000,18.000000,11.000000,16.000000,9992.97,0.0246538
652227427,4000,0.675754,0.587750,0.608526,0.717861,0.858108,0.796147,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.28,0.0340916
652227427,5000,0.485668,0.453214,0.474050,0.614977,0.852058,0.784793,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.28,0.0340935
652227427,6000,0.393876,0.368450,0.383922,0.521546,0.526312,0.745816,13.000000,13.000000,13.000000,18.000000,14.000000,73.000000,9989.3,0.0375235
652227427,8000,0.299719,0.309092,0.297662,0.378230,0.246063,0.302304,15.000000,13.000000,13.000000,76.000000,11.000000,16.000000,9990.38,0.0337278
2447348191,2000,0.942061,0.965916,0.953367,0.867104,0.859819,0.813539,13.000000,73.000000,13.000000,18.000000,11.000000,16.000000,9993.5,0.0227946
2447348191,3000,0.938188,0.930485,0.952182,0.820515,0.859739,0.811250,13.000000,15.000000,71.000000,18.000000,11.000000,16.000000,9992.98,0.0246329
2447348191,4000,0.676704,0.583103,0.612659,0.715703,0.859895,0.803271,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.29,0.0340675
2447348191,5000,0.485112,0.452724,0.478642,0.617458,0.855106,0.792172,13.000000,13.000000,13.000000,18.000000,71.000000,16.000000,9990.29,0.0340648
2447348191,6000,0.398221,0.375294,0.394401,0.525777,0.534336,0.762685,13.000000,13.000000,13.000000,18.000000,14.000000,73.000000,9989.31,0.0374952
2447348191,8000,0.300836,0.307432,0.300216,0.387815,0.244059,0.320082,15.000000,13.000000,13.000000,76.000000,11.000000,16.000000,9990.38,0.0337303
