seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.934951,0.943678,0.952804,0.850063,0.864660,0.827677,10.000000,38.000000,31.000000,17.000000,10.000000,14.000000,9994.99,0.021106
861648815,3000,0.845359,0.839403,0.843157,0.793077,0.870196,0.821878,22.000000,21.000000,20.000000,17.000000,26.000000,14.000000,9994.24,0.0242627
861648815,4000,0.743285,0.732915,0.725908,0.736306,0.758318,0.759240,12.000000,13.000000,11.000000,17.000000,41.000000,26.000000,9992.95,0.0296599
861648815,5000,0.674993,0.680147,0.672537,0.669833,0.696966,0.663233,10.000000,13.000000,11.000000,17.000000,53.000000,16.000000,9993.02,0.0293732
861648815,6000,0.605143,0.592492,0.628948,0.603440,0.628655,0.628282,10.000000,13.000000,12.000000,17.000000,20.000000,48.000000,9992.61,0.0311206
861648815,8000,0.443961,0.424024,0.425853,0.512207,0.555703,0.546941,10.000000,13.000000,11.000000,17.000000,40.000000,29.000000,9992.84,0.0301188
716359404,2000,0.941157,0.947418,0.951956,0.853945,0.873778,0.824193,10.000000,49.000000,20.000000,17.000000,10.000000,14.000000,9995.08,0.0207009
716359404,3000,0.860268,0.847729,0.832845,0.801909,0.871043,0.819545,31.000000,20.000000,11.000000,17.000000,27.000000,14.000000,9994.2,0.0244076
716359404,4000,0.749908,0.734433,0.716908,0.736857,0.768069,0.766343,11.000000,13.000000,11.000000,17.000000,39.000000,29.000000,9992.91,0.029851
716359404,5000,0.677747,0.680843,0.663782,0.665696,0.687235,0.653395,10.000000,13.000000,11.000000,17.000000,53.000000,16.000000,9993.08,0.0291147
716359404,6000,0.619211,0.605497,0.632013,0.612967,0.634047,0.635073,10.000000,13.000000,11.000000,17.000000,22.000000,47.000000,9992.6,0.0311464
716359404,8000,0.457612,0.424695,0.420478,0.513456,0.555961,0.535352,10.000000,13.000000,11.000000,17.000000,54.000000,15.000000,9993.08,0.0291301
518024951,2000,0.939221,0.949171,0.954767,0.845901,0.865094,0.829348,10.000000,38.000000,31.000000,17.000000,10.000000,14.000000,9995,0.0210373
518024951,3000,0.846721,0.849590,0.836210,0.791730,0.869672,0.825089,16.000000,38.000000,11.000000,17.000000,24.000000,14.000000,9994.46,0.0233025
518024951,4000,0.752434,0.732490,0.715984,0.731056,0.769534,0.770788,10.000000,13.000000,11.000000,17.000000,36.000000,33.000000,9992.82,0.0302382
518024951,5000,0.678414,0.685533,0.669237,0.671230,0.695830,0.670440,10.000000,13.000000,11.000000,17.000000,53.000000,16.000000,9993.06,0.0292278
518024951,6000,0.622407,0.607875,0.635747,0.611424,0.637731,0.638258,10.000000,13.000000,11.000000,17.000000,20.000000,49.000000,9992.55,0.0313533
518024951,8000,0.450389,0.420301,0.420698,0.511129,0.553828,0.545938,10.000000,13.000000,11.000000,17.000000,40.000000,29.000000,9992.86,0.0300451
652227427,2000,0.938100,0.950876,0.956007,0.852896,0.870272,0.822191,10.000000,35.000000,34.000000,17.000000,10.000000,14.000000,9994.97,0.0211717
652227427,3000,0.849749,0.846605,0.848429,0.794999,0.868911,0.820761,23.000000,20.000000,21.000000,17.000000,25.000000,14.000000,9994.27,0.0241007
652227427,4000,0.750751,0.735313,0.724134,0.735991,0.760436,0.762589,11.000000,13.000000,11.000000,17.000000,46.000000,22.000000,9992.98,0.0295479
652227427,5000,0.680756,0.683136,0.672371,0.669254,0.695047,0.651703,10.000000,13.000000,11.000000,17.000000,54.000000,15.000000,9993.06,0.0292129
652227427,6000,0.613310,0.605582,0.635593,0.611855,0.635477,0.635995,10.000000,13.000000,13.000000,17.000000,18.000000,49.000000,9992.62,0.0310422
652227427,8000,0.453330,0.426407,0.425579,0.510664,0.549522,0.544226,10.000000,13.000000,11.000000,17.000000,39.000000,30.000000,9992.85,0.0300836
