RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
1066168864,1,1,3000,3000,600,600,3000,2627,367,6,0,0,0.566667
1066168864,1,1,3000,1000,600,600,1000,959,41,0,0,0,0.05
1066168864,1,1,3000,2000,600,600,2000,1792,206,2,0,0,0.266667
1066168864,1,1,3000,4000,600,600,3999,3317,658,24,0,0,1.1
1066168864,1,1,3000,5000,600,600,4999,3957,1021,21,0,0,1.88333
1066168864,1,1,3000,6000,600,600,5999,4535,1420,44,0,0,2.78333
1066168864,1,2,3000,3000,600,600,2999,2244,499,256,0,0,0.616667
1066168864,1,2,3000,1000,600,600,1000,896,90,14,0,0,0.0833333
1066168864,1,2,3000,2000,600,600,1998,1649,260,89,0,0,0.266667
1066168864,1,2,3000,4000,600,600,3997,2613,796,588,0,0,1.06667
1066168864,1,2,3000,5000,600,600,4995,2954,1041,1000,0,0,1.7
1066168864,1,2,3000,6000,600,600,5993,3203,1290,1500,0,0,2.61667
1066168864,1,3,3000,3000,600,600,2999,2721,233,45,0,0,0.583333
1066168864,1,3,3000,1000,600,600,1000,974,26,0,0,0,0.0666667
1066168864,1,3,3000,2000,600,600,2000,1855,130,15,0,0,0.25
1066168864,1,3,3000,4000,600,600,3998,3463,409,126,0,0,1.1
1066168864,1,3,3000,5000,600,600,4997,4199,574,224,0,0,1.75
1066168864,1,3,3000,6000,600,600,5995,4796,807,392,0,0,2.61667
1066168864,1,4,3000,3000,600,600,3000,2659,334,7,0,0,0.6
1066168864,1,4,3000,1000,600,600,1000,961,39,0,0,0,0.0666667
1066168864,1,4,3000,2000,600,600,2000,1807,191,2,0,0,0.25
1066168864,1,4,3000,4000,600,600,3999,3360,614,25,0,0,1.05
1066168864,1,4,3000,5000,600,600,4999,4047,930,22,0,0,1.76667
1066168864,1,4,3000,6000,600,600,5999,4663,1289,47,0,0,2.56667
1066168864,1,5,3000,3000,600,600,2999,2724,230,45,0,0,0.566667
1066168864,1,5,3000,1000,600,600,1000,974,26,0,0,0,0.05
1066168864,1,5,3000,2000,600,600,2000,1857,128,15,0,0,0.233333
1066168864,1,5,3000,4000,600,600,3998,3463,407,128,0,0,1.06667
1066168864,1,5,3000,5000,600,600,4997,4211,560,226,0,0,1.7
1066168864,1,5,3000,6000,600,600,5995,4803,796,396,0,0,2.61667
1066168864,1,6,3000,3000,600,600,2997,2291,419,287,0,0,0.583333
1066168864,1,6,3000,1000,600,600,999,908,74,17,0,0,0.0833333
1066168864,1,6,3000,2000,600,600,1999,1700,217,82,0,0,0.25
1066168864,1,6,3000,4000,600,600,3995,2693,682,620,0,0,1.03333
1066168864,1,6,3000,5000,600,600,4995,3051,948,996,0,0,1.75
1066168864,1,6,3000,6000,600,600,5996,3358,1180,1458,0,0,2.63333
1066168864,1,7,3000,3000,600,600,2998,2300,440,258,0,0,0.566667
1066168864,1,7,3000,1000,600,600,999,934,51,14,0,0,0.0666667
1066168864,1,7,3000,2000,600,600,1997,1657,244,96,0,0,0.233333
