RunSeed,Seed,packetSize,N,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.48,8.1,0,27,1000,1000,600,3.3,10000,24,3,144000,137886,6095,19,0,0,9998.42
2314927680,1,23,3.48,8.1,0,27,2000,1000,600,3.3,10000,24,3,144000,137886,6095,19,0,0,9998.42
2314927680,1,23,3.48,8.1,0,27,3000,1000,600,3.3,10000,24,3,144000,137886,6095,19,0,0,9998.42
2314927680,1,23,3.48,8.1,0,27,4000,1000,600,3.3,10000,24,3,144000,130620,5452,8,7920,0,9998.42
2314927680,1,23,3.48,8.1,0,27,5000,1000,600,3.3,10000,24,3,144000,86448,2971,8,54573,0,9998.43
2314927680,1,23,3.48,8.1,0,27,6000,1000,600,3.3,10000,24,3,144000,63159,1497,3,79341,0,9998.43
2314927680,1,23,3.48,8.1,0,27,8000,1000,600,3.3,10000,24,3,144000,35772,372,0,107856,0,9998.43
2314927680,1,23,3.48,8.1,0,27,1000,1000,600,3.3,10000,24,6,144000,137886,6095,19,0,0,9998.31
2314927680,1,23,3.48,8.1,0,27,2000,1000,600,3.3,10000,24,6,144000,137886,6095,19,0,0,9998.32
2314927680,1,23,3.48,8.1,0,27,3000,1000,600,3.3,10000,24,6,144000,137886,6095,19,0,0,9998.32
2314927680,1,23,3.48,8.1,0,27,4000,1000,600,3.3,10000,24,6,144000,137886,6095,19,0,0,9998.32
2314927680,1,23,3.48,8.1,0,27,5000,1000,600,3.3,10000,24,6,144000,123652,4932,8,15408,0,9998.32
2314927680,1,23,3.48,8.1,0,27,6000,1000,600,3.3,10000,24,6,144000,89232,3067,8,51693,0,9998.32
2314927680,1,23,3.48,8.1,0,27,8000,1000,600,3.3,10000,24,6,144000,51589,971,0,91440,0,9998.32
2314927680,1,23,3.48,8.1,0,27,1000,1000,600,3.3,10000,24,9,144000,137886,6095,19,0,0,9998.18
2314927680,1,23,3.48,8.1,0,27,2000,1000,600,3.3,10000,24,9,
2314927680,1,23,3.48,8.1,0,27,1000,1000,600,3.3,10000,10,3,60000,57510,2482,8,0,0,9999.34
2314927680,1,23,3.48,8.1,0,27,2000,1000,600,3.3,10000,10,3,60000,57510,2482,8,0,0,9999.34
2314927680,1,23,3.48,8.1,0,27,3000,1000,600,3.3,10000,10,3,60000,57510,2482,8,0,0,9999.34
2314927680,1,23,3.48,8.1,0,27,4000,1000,600,3.3,10000,10,3,60000,54488,2207,5,3300,0,9999.34
2314927680,1,23,3.48,8.1,0,27,5000,1000,600,3.3,10000,10,3,60000,36055,1203,5,22737,0,9999.34
2314927680,1,23,3.48,8.1,0,27,6000,1000,600,3.3,10000,10,3,60000,26337,603,3,33057,0,9999.34
2314927680,1,23,3.48,8.1,0,27,8000,1000,600,3.3,10000,10,3,60000,14899,161,0,44940,0,9999.34
2314927680,1,23,3.48,8.1,0,27,2000,1000,600,3.3,10000,10,6,60000,57510,2482,8,0,0,9999.3
2314927680,1,23,3.48,8.1,0,27,3000,1000,600,3.3,10000,10,6,60000,57510,2482,8,0,0,9999.3
2314927680,1,23,3.48,8.1,0,27,4000,1000,600,3.3,10000,10,6,60000,57510,2482,8,0,0,9999.3
2314927680,1,23,3.48,8.1,0,27,5000,1000,600,3.3,10000,10,6,60000,51586,1989,5,6420,0,9999.3
2314927680,1,23,3.48,8.1,0,27,6000,1000,600,3.3,10000,10,6,60000,37216,1242,5,21537,0,9999.3
